id,cname,continent
1,Parramatta-North-West,Australia
2,Parramatta-South,Australia
3,Penrith-East,Australia
4,Penrith-West,Australia
5,Pittwater,Australia
6,PortMacquarie-Hastings-PtA,Australia
7,PortMacquarie-Hastings-PtB,Australia
8,PortStephens,Australia
9,Queanbeyan,Australia
10,Randwick,Australia
11,SutherlandShire-East,Australia
12,SutherlandShire-West,Australia
13,Sydney-East,Australia
14,Sydney-Inner,Australia
15,Sydney-South,Australia
16,Sydney-West,Australia
17,TamworthRegional-PtA,Australia
18,TamworthRegional-PtB,Australia
19,Temora,Australia
20,Tenterfield,Australia
21,Harrison,Australia
22,Hawker,Australia
23,Higgins,Australia
24,Holder,Australia
25,Holt,Australia
26,Hughes,Australia
27,Hume,Australia
28,Isaacs,Australia
29,IsabellaPlains,Australia
30,Jerrabomberra,Australia
31,JervisBay,Australia
32,Kaleen,Australia
33,Dungog,Australia
34,Eurobodalla,Australia
35,Fairfield-East,Australia
36,Fairfield-West,Australia
37,Forbes,Australia
38,Gilgandra,Australia
39,GlenInnesSevern,Australia
40,Gloucester,Australia
41,Gosford-East,Australia
42,Gosford-West,Australia
43,GoulburnMulwaree-Goulburn,Australia
44,GoulburnMulwareeBal,Australia
45,GreatLakes,Australia
46,Tumbarumba,Australia
47,Tumut,Australia
48,Tweed-TweedCoast,Australia
49,Tweed-Tweed-Heads,Australia
50,Tweed-PtB,Australia
51,Unincorp.FarWest,Australia
52,UpperHunterShire,Australia
53,UpperLachlanShire,Australia
54,Uralla,Australia
55,Urana,Australia
56,WaggaWagga-PtA,Australia
57,WaggaWagga-PtB,Australia
58,ChartersTowers,Australia
59,Chelmer,Australia
60,Cherbourg,Australia
61,Chermside,Australia
62,ChermsideWest,Australia
63,Chinchilla,Australia
64,City,Australia
65,City-Inner,Australia
66,City-Remainder,Australia
67,n.a.1,Australia
68,Acton,Australia
69,Ainslie,Australia
70,Amaroo,Australia
71,Aranda,Australia
72,Banks,Australia
73,Barton,Australia
74,Belconnen-SSDBal,Australia
75,BelconnenTownCentre,Australia
76,Bonython,Australia
77,Braddon,Australia
78,Bruce,Australia
79,Calwell,Australia
80,Campbell,Australia
81,Chapman,Australia
82,Charnwood,Australia
83,Chifley,Australia
84,Chisholm,Australia
85,City,Australia
86,Conder,Australia
87,Cook,Australia
88,Curtin,Australia
89,Deakin,Australia
90,Dickson,Australia
91,Downer,Australia
92,Duffy,Australia
93,Dunlop,Australia
94,Duntroon,Australia
95,Evatt,Australia
96,Fadden,Australia
97,Farrer,Australia
98,Fisher,Australia
99,Florey,Australia
100,Flynn,Australia
101,Forrest,Australia
102,Fraser,Australia
103,Fyshwick,Australia
104,Garran,Australia
105,Gilmore,Australia
106,Giralang,Australia
107,Gordon,Australia
108,Gowrie,Australia
109,Greenway,Australia
110,Griffith,Australia
111,Gungahlin,Australia
112,Gungahlin-Hall-SSDBal,Australia
113,Hackett,Australia
114,Hall,Australia
115,Harman,Australia
116,Kambah,Australia
117,Kingston,Australia
118,Kowen,Australia
119,Latham,Australia
120,Lyneham,Australia
121,Lyons,Australia
122,Macarthur,Australia
123,Macgregor,Australia
124,Macquarie,Australia
125,Majura,Australia
126,Mawson,Australia
127,McKellar,Australia
128,Melba,Australia
129,Mitchell,Australia
130,Monash,Australia
131,Narrabundah,Australia
132,Ngunnawal,Australia
133,Nicholls,Australia
134,OaksEstate,Australia
135,O'Connor,Australia
136,O'Malley,Australia
137,Oxley,Australia
138,Page,Australia
139,Palmerston,Australia
140,Parkes,Australia
141,Pearce,Australia
142,Phillip,Australia
143,Pialligo,Australia
144,RedHill,Australia
145,Reid,Australia
146,RemainderofACT,Australia
147,Richardson,Australia
148,Rivett,Australia
149,Russell,Australia
150,Scullin,Australia
151,Spence,Australia
152,Stirling,Australia
153,Stromlo,Australia
154,Symonston,Australia
155,Theodore,Australia
156,Torrens,Australia
157,Tuggeranong-SSDBal,Australia
158,Turner,Australia
159,Wanniassa,Australia
160,Waramanga,Australia
161,Watson,Australia
162,Weetangera,Australia
163,Weston,Australia
164,WestonCreek-Stromlo-SSDBal,Australia
165,Yarralumla,Australia
166,n.a.2,Australia
167,Albury,Australia
168,ArmidaleDumaresq,Australia
169,ArmidaleDumaresqBal,Australia
170,Ashfield,Australia
171,Auburn,Australia
172,Ballina,Australia
173,Balranald,Australia
174,Bankstown-North-West,Australia
175,Bankstown-South,Australia
176,Bankstown-North-East,Australia
177,BathurstRegional-PtA,Australia
178,BathurstRegional-PtB,Australia
179,BaulkhamHills-North,Australia
180,BaulkhamHills-South,Australia
181,BaulkhamHills-Central,Australia
182,BegaValley,Australia
183,Bellingen,Australia
184,Berrigan,Australia
185,Blacktown-North,Australia
186,Blacktown-South-West,Australia
187,Blacktown-South-East,Australia
188,Bland,Australia
189,Blayney,Australia
190,BlueMountains,Australia
191,Bogan,Australia
192,Bombala,Australia
193,Boorowa,Australia
194,BotanyBay,Australia
195,Bourke,Australia
196,Brewarrina,Australia
197,BrokenHill,Australia
198,Burwood,Australia
199,Byron,Australia
200,Cabonne,Australia
201,Camden,Australia
202,Campbelltown-South,Australia
203,Campbelltown-North,Australia
204,CanadaBay-Concord,Australia
205,CanadaBay-Drummoyne,Australia
206,Canterbury,Australia
